127.0.0.1, 2014-06-23 22:30:34, GET, /, HTTP/1.1, 303, 0.267169
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.348738
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000609
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000360
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.024560
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001538
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001504
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002244
127.0.0.1, 2014-06-23 22:30:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000533
127.0.0.1, 2014-06-23 22:30:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000678
127.0.0.1, 2014-06-23 22:30:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2014-06-23 22:30:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000543
127.0.0.1, 2014-06-23 22:30:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2014-06-23 22:30:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000560
127.0.0.1, 2014-06-23 22:34:48, GET, /admin/default/site, HTTP/1.1, 303, 0.118915
127.0.0.1, 2014-06-23 22:34:48, GET, /admin/default/index, HTTP/1.1, 200, 0.056357
127.0.0.1, 2014-06-23 22:34:48, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.003981
127.0.0.1, 2014-06-23 22:34:48, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.000642
